LGA,AGE5P - 0-4 years,AGE5P - 5-9 years,AGE5P - 10-14 years,AGE5P - 15-19 years,AGE5P - 20-24 years,AGE5P - 25-29 years,AGE5P - 30-34 years,AGE5P - 35-39 years,AGE5P - 40-44 years,AGE5P - 45-49 years,AGE5P - 50-54 years,AGE5P - 55-59 years,AGE5P - 60-64 years,AGE5P - 65-69 years,AGE5P - 70-74 years,AGE5P - 75-79 years,AGE5P - 80-84 years,AGE5P - 85-89 years,AGE5P - 90-94 years,AGE5P - 95-99 years,AGE5P - 100 years and over,HEAP - Postgraduate Degree Level,HEAP - Graduate Diploma and Graduate Certificate Level,HEAP - Bachelor Degree Level,HEAP - Advanced Diploma and Diploma Level,HEAP - Certificate III & IV Level,HEAP - Secondary Education - Years 10 and above,HEAP - Certificate I & II Level,HEAP - Secondary Education - Years 9 and below,HEAP - Supplementary Codes,HEAP - Not stated,HEAP - Not applicable,"INCP - $1,000-$1,249 ($52,000-$64,999)","INCP - $1,250-$1,499 ($65,000-$77,999)","INCP - $1,500-$1,749 ($78,000-$90,999)","INCP - $1,750-$1,999 ($91,000-$103,999)","INCP - $1-$149 ($1-$7,799)","INCP - $150-$299 ($7,800-$15,599)","INCP - $2,000-$2,999 ($104,000-$155,999)","INCP - $3,000 or more ($156,000 or more)","INCP - $300-$399 ($15,600-$20,799)","INCP - $400-$499 ($20,800-$25,999)","INCP - $500-$649 ($26,000-$33,799)","INCP - $650-$799 ($33,800-$41,599)","INCP - $800-$999 ($41,600-$51,999)",INCP - Negative income,INCP - Nil income,INCP - Not applicable,INCP - Not stated,INDP - Accommodation and Food Services,INDP - Administrative and Support Services,"INDP - Agriculture, Forestry and Fishing",INDP - Arts and Recreation Services,INDP - Construction,INDP - Education and Training,"INDP - Electricity, Gas, Water and Waste Services",INDP - Financial and Insurance Services,INDP - Health Care and Social Assistance,INDP - Inadequately described,INDP - Information Media and Telecommunications,INDP - Manufacturing,INDP - Mining,INDP - Not applicable,INDP - Not stated,INDP - Other Services,"INDP - Professional, Scientific and Technical Services",INDP - Public Administration and Safety,"INDP - Rental, Hiring and Real Estate Services",INDP - Retail Trade,"INDP - Transport, Postal and Warehousing",INDP - Wholesale Trade,"LFHRP - Employed, worked full-time","LFHRP - Employed, worked part-time","LFHRP - Employed, away from work","LFHRP - Employed, hours of work not stated","LFHRP - Unemployed, looking for full-time work","LFHRP - Unemployed, looking for part-time work",LFHRP - Not in the labour force,LFHRP - Labour force status not stated,LFHRP - Not applicable,GNGP - National Government,GNGP - State/Territory Government,GNGP - Local Government,GNGP - Private sector,GNGP - Not stated,GNGP - Not applicable,MSTP - Never married,MSTP - Widowed,MSTP - Divorced,MSTP - Separated,MSTP - Married,MSTP - Not applicable,"RLHP - Husband, Wife or Partner in a registered marriage","RLHP - Husband, Wife or Partner in de facto marriage, opposite-sex couple","RLHP - Husband, Wife or Partner in de facto marriage, male same-sex couple","RLHP - Husband, Wife or Partner in de facto marriage, female same-sex couple",RLHP - Lone parent,RLHP - Natural or adopted child under 15,RLHP - Step child under 15,RLHP - Foster child under 15,RLHP - Grandchild under 15,RLHP - Otherwise related child under 15,RLHP - Unrelated child under 15,RLHP - Natural or adopted dependent student,RLHP - Dependent student step child,RLHP - Dependent student foster child,"RLHP - Non-dependent natural, or adopted child",RLHP - Non-dependent step child,RLHP - Non-dependent foster child,RLHP - Brother/sister,RLHP - Father/mother,RLHP - Non-dependent grandchild,RLHP - Grandfather/grandmother,RLHP - Cousin,RLHP - Uncle/aunt,RLHP - Nephew/niece,RLHP - Other related individual (nec),RLHP - Unrelated individual living in family household,RLHP - Group household member,RLHP - Lone person,RLHP - Visitor (from within Australia),RLHP - Other non-classifiable relationship,RLHP - Not applicable,RELP - Buddhism,RELP - Christianity,RELP - Hinduism,RELP - Islam,RELP - Judaism,RELP - Other Religions,RELP - Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,RELP - Inadequately described,RELP - Not stated,SEXP - Male,SEXP - Female,MDCP - Married in a registered marriage,MDCP - Married in a de facto marriage,MDCP - Not married,MDCP - Not applicable,PreferencePercent,PartyNm
Hunter,10247,10438,9977,9816,9191,9302,9708,9176,9964,10210,10161,10402,9594,9112,7056,4868,3681,2453,1132,282,12,2354,1366,10061,9732,28918,39936,195,15033,4249,14287,30658,9594,5996,5032,3707,5143,9506,6114,2539,13152,12591,10488,10037,9737,518,9765,30658,12233,4942,2484,1380,680,5690,4518,1357,1290,8568,1819,467,4348,6543,91563,768,3052,2448,3473,917,6452,2617,1430,39414,21991,2530,1297,3288,2041,47934,7644,30658,1462,5584,996,56424,768,91563,40882,7981,11882,4663,60724,30658,54092,11396,187,276,7603,26059,1647,243,424,130,57,5515,743,36,8716,1078,15,977,950,373,168,69,63,117,91,1393,2947,13347,5651,5778,6657,1060,99187,468,419,67,475,40870,552,13698,77728,79066,53433,12518,44204,46642,52.98,Labor
Indi,7923,9016,8835,8509,6953,6941,7374,7651,8842,9588,10290,10978,10708,10204,7637,5323,3657,2503,1143,281,42,2354,2620,11548,11185,24082,35811,135,12527,3388,14968,25765,9854,6321,4469,2899,4758,8795,3063,1483,12344,12097,10874,10551,10975,586,7136,25765,12396,5108,2071,4961,829,5454,5260,603,893,8939,1824,466,5883,230,79871,814,2327,2373,5233,730,6301,2792,1441,37487,22853,2881,1332,1962,1379,41771,8985,25765,2537,6696,1402,53082,814,79871,35583,7962,11852,4328,58893,25765,50518,10736,137,171,5708,21859,1366,83,232,65,47,4856,526,16,5655,564,10,799,518,186,87,30,39,73,70,845,3010,16017,7035,6485,6589,1002,79315,605,285,68,596,47594,647,14239,71012,73394,50059,11507,39056,43765,51.39,Independent
Isaacs,9529,9737,8668,8423,8622,9063,10412,11218,11776,11482,9932,9076,7923,7038,5451,4263,3388,2587,1191,266,36,6057,3187,21109,12942,17133,36904,106,9541,4666,10465,27984,10894,7930,6912,4908,5548,7742,7080,3672,9082,9435,8817,9012,10209,521,11102,27984,9479,4047,2486,445,1503,6706,6499,734,3361,8481,2689,1492,6794,126,76677,825,2783,6070,3737,1271,7745,2693,3205,46316,23617,2246,1333,2230,1955,37893,6689,27984,2226,5905,1115,63387,825,76677,39348,7005,10557,3625,61459,27984,55739,9362,227,299,5974,25513,762,24,113,79,59,7695,663,8,8414,690,0,1319,880,209,98,124,78,258,102,1118,3562,14047,3780,4887,4072,5214,72947,3074,5997,1282,1277,47479,725,12114,73113,77002,55175,10425,45232,39264,56.43,Australian Labor Party
Jagajaga,9076,9194,8357,8674,9038,9214,9577,9951,10557,10250,9800,9471,8248,7642,5663,4073,3070,2217,1091,217,19,8247,4398,23754,11721,16254,33107,54,8724,3525,8883,26629,10328,7808,7098,5028,5949,7658,7532,4515,8535,8908,8498,8271,9472,491,10523,26629,8194,3560,2137,237,1568,6544,8006,686,3156,10545,2044,1535,4330,168,73630,659,2442,6690,4922,1134,6507,2565,2159,43180,25111,2376,1051,1956,2068,37400,5559,26629,3820,8522,1147,57579,659,73630,39503,6134,8694,3134,61180,26629,56009,8481,208,259,5662,24388,718,31,157,45,31,8389,528,13,9144,644,0,1388,665,194,102,107,35,151,71,1161,3516,11554,3532,3880,4300,2340,74322,1756,2895,158,866,51392,730,10856,70830,74506,55512,9418,43364,37046,56.57,Australian Labor Party
Kennedy,10684,11881,11636,10133,8994,9810,9830,9297,10513,11114,11404,11511,10344,9389,7026,4947,3130,1828,704,151,28,1627,1327,9578,8259,26244,45977,138,13758,3581,19632,34204,9705,6225,5216,3462,5022,10225,5204,2004,12632,11907,10777,10843,10714,901,8682,34204,16572,4110,2041,8793,663,4950,6151,761,770,7583,2051,365,3599,4781,95468,908,2813,1950,5087,778,6423,2942,1367,44069,20417,2720,1720,4096,1738,43100,12328,34204,1110,8215,2237,56435,908,95468,46694,7011,11878,4508,60086,34204,50767,14057,93,168,7188,27673,1609,282,583,323,76,4365,504,34,7569,740,17,1422,893,401,142,159,121,274,222,1586,3674,14874,6265,10484,7767,1134,99274,447,369,42,1704,41525,568,19317,83728,80640,50126,14959,44255,55041,63.33,Katter's Australian Party (KAP)
Kingsford Smith,9753,9097,7813,10318,18262,17532,16112,13843,12381,11115,10224,8764,7659,6795,5480,4320,3242,2319,966,222,13,14374,2829,33999,12613,14199,41800,47,7764,5161,16774,26669,12455,9532,8552,6454,5098,8011,10594,7613,9386,9592,8892,8813,10613,810,17870,26669,15291,6216,3334,136,2072,6267,8569,503,5622,10303,2597,2640,2747,119,90878,986,2797,9205,5295,1887,6785,4977,2305,56459,24754,2589,1562,2282,2881,47813,11229,26669,5450,7801,896,70230,986,90878,69854,6259,10485,3559,59406,26669,52151,13123,621,451,6131,23860,681,40,135,63,31,6568,433,3,8398,501,5,2673,1023,274,143,235,113,339,164,3708,16519,15977,4022,8581,9265,5519,86046,2343,5281,5036,692,51590,681,19047,87225,89009,51469,14880,63211,46677,58.81,Labor
Kingston,9695,10115,9497,9883,9852,9715,10708,10202,10436,10734,10654,10770,10060,9480,6403,4278,3049,2041,900,221,18,2644,1875,13099,11965,28199,48289,102,8804,4200,10234,29311,12324,7460,5585,3291,6060,10526,3603,1122,13129,12551,11621,11093,12587,511,9827,29311,8220,4337,2924,380,931,7044,5651,1058,2396,12533,1541,1033,5692,577,85655,598,3275,3174,5096,893,9067,2871,1870,42193,27026,2888,1014,3497,2484,44327,5976,29311,2483,7494,1028,61574,598,85655,42838,6470,13019,4400,62666,29311,57447,12385,141,311,8024,25583,1606,121,239,100,54,7032,880,15,8949,1075,11,1096,655,253,114,59,50,112,80,1284,3183,14495,4961,4375,3933,1384,73081,823,807,71,1039,68022,941,12544,77771,80937,56949,13342,47415,41013,61.94,Australian Labor Party
Kooyong,6974,8913,9966,11079,12601,11684,9712,8997,9942,11196,10783,9467,8164,7449,5670,4205,3403,2685,1497,390,44,15863,5573,38809,11411,7205,31577,30,5934,3439,9113,25881,9899,7684,7519,5385,6578,7154,10242,13084,6589,6941,7322,7172,8591,547,15058,25881,9279,4901,2198,267,1781,3462,8040,602,5153,10938,2262,2234,3328,223,78785,716,1891,11407,3224,1988,7193,1780,2502,46055,26814,2149,1082,1978,2566,41927,6420,25881,3501,6206,647,65010,716,78785,48784,6233,7332,2329,64312,25881,56920,8111,361,245,4788,23732,553,0,56,72,27,11368,536,0,6781,347,3,1837,702,110,59,171,64,243,81,1617,7234,13841,3822,4778,6375,5245,70597,3900,1761,1153,865,57659,734,12937,73925,80955,56546,9063,49843,39426,55.7,Liberal
La Trobe,11860,11595,10694,10532,9586,9524,11121,10752,11203,11027,9519,8109,6600,5710,4214,2995,1917,1290,553,145,13,3871,2209,13946,12395,22730,37880,73,9379,3449,9222,34177,11363,7575,5691,3809,5513,7380,4902,2158,8375,8360,8767,9463,11146,594,11730,34177,8055,3865,2217,885,1119,8796,5707,876,2085,8442,2810,1102,7362,199,77108,898,3022,4149,3032,1080,8179,3303,3176,45239,23365,2220,1249,2295,2202,32896,5626,34177,1411,5514,1017,63287,898,77108,37244,4443,9028,3815,60644,34177,55725,9935,144,223,6073,30714,1367,78,226,88,41,8299,929,22,8439,1092,6,1263,1051,142,67,80,42,234,109,1263,2228,8485,3516,4875,2637,4028,75359,3239,3286,128,2091,49461,750,10903,73269,75943,55226,10709,39663,43561,54.49,Liberal
Lalor,16851,14435,11199,10303,11146,14512,18940,15860,12239,10547,9512,8311,6908,5572,3553,2412,1513,877,397,74,13,8478,2110,18690,13116,20193,41700,158,11024,4669,12300,42438,13103,8237,6044,3828,5945,9537,4770,1540,9207,8677,9253,10930,13216,941,16255,42438,11066,4674,3103,692,1331,5797,5133,1075,3459,8806,2703,1510,6362,163,96731,1302,2551,4647,4329,1147,8142,8411,2851,50784,23162,2324,1806,4141,3058,39600,7442,42438,2317,5085,1137,68378,1302,96731,42865,4407,8914,4478,71758,42438,65199,9087,286,276,7352,38063,1450,37,332,201,108,8278,767,14,9712,1016,9,2266,1439,231,108,344,105,488,198,2242,3160,8801,3717,6835,3089,4232,81247,14811,13608,87,7201,38436,789,14383,87666,87242,64349,10510,46367,53706,62.41,Australian Labor Party
Leichhardt,11122,12060,11166,10175,10020,11449,11678,11540,12363,12265,12075,11144,9625,7962,5412,3332,2083,1289,553,136,14,3604,2264,15565,11932,25298,42292,179,8459,4228,19311,34349,11133,7167,6189,3945,4800,10303,5197,2559,10250,10701,10900,11197,12050,666,9372,34349,16713,8242,3311,1208,1563,5616,6867,590,966,10562,1976,576,2454,1905,93006,923,3139,3263,6475,1449,7309,4624,1382,46497,23695,2702,1492,4305,2396,38161,13796,34349,2433,9930,2191,58959,923,93006,56362,5535,13657,4833,52672,34349,43839,16590,407,352,8266,27748,1497,151,744,334,91,4618,543,14,6917,800,10,1621,1042,439,194,205,205,489,410,1927,6402,15677,6073,10837,9036,2861,86816,1291,525,176,1843,52451,997,20466,83087,84344,43327,17869,49699,56527,54.17,Liberal National Party of Queensland
Lilley,9400,8993,8125,8017,10441,11951,12745,11055,11128,10277,9258,8507,7444,6385,5085,4166,3292,2443,1164,280,44,5913,3076,22456,12317,19419,38693,75,7563,3584,10570,26513,11781,8765,7800,5074,4752,7289,7612,3503,8883,9947,9266,9523,11031,479,8946,26513,9010,5004,2785,215,1351,5856,6829,953,2674,10786,2001,1211,3859,852,73934,776,2751,6279,6651,1382,6663,5374,1958,49468,22983,2602,1166,2815,2061,35669,6877,26513,3515,10749,932,60228,776,73934,46280,6709,11604,3888,55141,26513,50131,12199,477,473,6351,23618,1104,72,144,109,59,5685,626,13,7163,643,5,2190,858,235,104,159,90,241,103,2115,6692,15620,3932,4449,4567,2065,83931,3062,1143,115,2518,44656,817,11828,72989,77178,49684,13593,48855,38037,50.64,Australian Labor Party
Lindsay,12554,12078,10697,10846,11810,12859,13231,12051,11583,10673,9930,9650,8440,7548,4967,3334,2166,1313,633,150,9,3856,1420,12490,11066,25407,46557,141,12561,4582,13120,35327,13507,8977,7091,4777,4898,8094,5585,1904,10289,10192,9319,10466,12630,619,11249,35327,11585,4752,2631,607,1103,9065,5889,1135,3386,8860,3152,1011,6112,157,87122,1136,3102,3458,5841,1275,8360,5391,2998,53633,21654,2546,1569,2928,2017,39231,7621,35327,2578,8576,1002,66113,1136,87122,47629,5936,11537,5024,61071,35327,56201,11178,173,313,8737,30768,1643,242,383,175,61,7072,774,35,11846,1371,13,1715,1471,368,141,125,106,298,132,1908,3222,11171,4078,6637,4163,1803,105312,3065,3179,80,1878,36973,589,13642,82101,84427,55298,12568,50504,48155,55.04,Liberal
Lingiari,9409,9548,8714,8125,9189,10567,10445,8935,8528,8734,8046,6872,5424,3608,2099,1122,577,297,86,23,3,2006,1398,7380,5373,14320,26362,273,10896,3481,21200,27693,6749,5483,4728,3511,4761,11876,5282,2315,4891,4030,4370,4542,5550,340,5508,27693,18766,2753,1358,1700,931,4376,4858,648,335,5457,1458,329,861,1602,74300,792,2365,1969,8163,516,3069,1864,598,32978,9546,2194,1367,3621,1112,28564,13305,27693,3356,7418,1628,32878,792,74300,39178,3204,6180,3304,40836,27693,29296,10002,119,203,4745,20460,1050,167,1269,1132,167,2518,312,10,5569,680,10,1526,963,793,209,446,374,1085,1107,1406,2631,6653,4441,9293,11757,1594,59212,749,1196,44,3547,32056,567,21454,63231,57178,28663,10950,31057,49710,55.46,Australian Labor Party (Northern Territory) Branch
Longman,10411,11673,10853,10551,10038,9739,9748,9453,10452,10712,10230,9800,9554,9506,7403,4806,2870,1842,757,182,15,1544,1435,8901,10882,28353,47134,139,11215,3869,14193,32937,10642,6504,5042,3026,5527,10153,3541,1471,13834,11940,11366,11111,11321,564,9733,32937,11876,4138,2321,1946,782,8045,4773,856,1280,8297,2396,612,4631,788,94710,836,2863,2749,3778,1185,7712,4151,1744,40140,22050,2371,1324,3967,2468,46810,8530,32937,1202,6740,823,56283,836,94710,41405,6555,12802,5606,61296,32937,55256,12617,133,276,7886,27552,2348,144,362,163,89,5691,934,21,8519,1326,10,1222,1267,303,127,79,58,154,141,2215,4125,11269,5093,6773,4414,1392,90206,494,297,76,805,51178,761,15383,79019,81580,54445,13843,45363,46944,53.28,Liberal National Party of Queensland
Lyne,6885,8451,8603,8213,5700,5416,5693,6241,7940,9076,10144,11217,11755,12664,10368,7375,4920,3204,1255,323,33,1959,1550,9798,9962,25607,37052,193,15206,4605,15606,23935,7669,4498,3430,2497,4970,10812,3080,1682,16744,14796,11749,10181,9021,558,7703,23935,12144,4210,1826,2803,586,5372,4474,881,782,8244,1336,370,2873,1036,93200,707,2205,2124,2469,891,6040,2126,918,28333,20473,2306,1160,2719,1708,56285,8559,23935,816,4757,1302,44692,707,93200,31704,9579,13306,4687,62258,23935,55091,9569,150,179,6520,20213,1203,262,421,127,56,4676,535,43,6868,693,20,814,874,331,135,47,55,100,70,1165,2962,15509,5966,5961,4853,990,94457,204,154,68,385,35951,415,12853,71263,74214,54379,10604,41429,39056,65.17,The Nationals
Lyons,5785,6472,6278,6061,4931,4898,5372,5349,6224,7044,7603,8158,7784,7495,5232,3495,2178,1262,489,113,7,1165,861,5858,5758,16299,30481,94,10184,2508,10403,18528,6483,3669,2799,1628,3344,7497,1553,843,10640,9457,7815,7423,7230,336,5304,18528,7664,3096,1361,3818,830,3781,2845,722,721,5389,1180,402,3276,349,60236,491,1608,1337,2835,522,4521,2049,975,23545,15617,1966,913,1985,1115,32629,5978,18528,808,4187,780,35762,491,60236,26490,5179,8740,3068,40227,18528,35221,9016,145,174,4608,15420,1124,147,228,90,35,3309,472,13,4816,558,9,534,410,182,71,24,32,62,66,628,1735,10809,4664,4518,3038,456,54515,101,103,27,350,36465,418,9823,50887,51288,34841,9720,28341,29265,55.18,Australian Labor Party
Macarthur,12452,12332,11123,11084,11614,12044,12784,11359,10905,9841,10095,9809,8638,7211,4623,2915,1743,967,388,81,3,3980,1298,12863,11209,22600,45997,172,11438,5116,11436,35903,12304,8140,6136,3898,5143,8695,4601,1468,10628,9607,9235,10716,12447,605,13068,35903,9426,4523,2547,404,864,7100,5391,754,3102,8566,3003,1008,6743,195,88261,1153,2734,3400,4527,1163,8184,5759,2660,49221,20600,2290,1649,3156,2340,39817,7044,35903,1803,7484,900,62417,1153,88261,44519,5061,10116,4954,61463,35903,57196,9275,138,242,8720,31272,1482,273,449,221,91,7834,764,35,12866,1325,9,1732,1621,365,148,154,98,361,147,1733,2346,8695,3801,6180,2433,3629,98692,5141,10214,71,1650,29835,496,12290,79775,82248,56232,10615,48970,46200,58.4,Labor
Mackellar,8871,10358,9579,8870,7513,6821,7992,9409,11345,11275,10701,9429,8371,7932,6829,5099,3620,2668,1479,420,25,6925,2627,23742,14638,17223,33202,84,5883,5373,10108,28813,10591,7873,7001,4886,5208,6076,8941,8608,7050,8004,8417,8636,9731,430,9208,28813,9161,4368,2733,296,1461,7543,6541,435,3833,8332,2936,2448,3631,119,73895,822,3030,8532,3129,1697,7440,2101,3302,45552,25845,2176,1148,1236,1387,36171,6294,28813,1423,5294,864,66309,822,73895,34513,7091,10171,2847,65179,28813,58962,8778,141,219,4760,26304,873,39,92,35,46,7635,582,4,8264,722,6,978,967,174,94,73,38,143,96,1883,2712,10837,3694,4693,4775,2218,83501,1033,649,473,861,47964,605,11319,72521,76092,58453,9648,39956,40550,63.22,Liberal
Macnamara,8063,6481,5292,6046,13496,22063,21853,15173,12067,10869,9251,8773,7515,6940,4528,3316,2226,1675,879,214,32,16625,5523,43591,13442,10623,31082,4,4881,3866,17682,19761,13175,10791,10129,7339,3826,6177,13357,12593,6847,7623,7288,7968,10802,549,11640,19761,17259,6781,3587,185,3295,4585,8163,753,6624,9821,3020,3407,3876,238,73967,788,2648,15387,4196,2396,7429,2703,2872,64633,24653,2541,1216,2912,2280,34378,14656,19761,3963,6645,691,80817,788,73967,75145,5007,12346,3335,51604,19761,43269,18772,1684,769,4016,17462,346,5,7,34,9,4569,209,0,3704,111,0,2432,191,51,20,201,8,40,67,1715,15835,26567,4791,12179,7433,3652,51694,3683,1864,16064,727,66512,1082,21546,81609,85618,42991,21507,60374,42436,56.25,Australian Labor Party
Macquarie,8333,9278,9320,9345,8015,7418,7601,8114,9674,10416,10112,10257,9332,8618,6223,4024,2725,1665,762,194,20,5469,2742,15821,12209,22583,33251,87,8436,4223,9684,26930,10160,7259,6384,4781,4909,7291,6375,2573,8832,9774,9223,8899,9792,474,8883,26930,8885,4338,2053,1217,1405,7830,8066,856,1737,8421,2289,1082,4159,236,73278,687,2725,3790,5495,1103,6049,2793,1843,42079,22778,2198,1107,1678,1552,37081,6045,26930,2757,8292,1277,55152,687,73278,37340,5820,11331,3666,56352,26930,51466,9388,342,478,6006,23541,1302,199,241,76,39,6260,708,25,8779,959,21,829,909,259,114,42,50,112,87,1267,2860,11770,3949,4885,4479,1417,82684,319,392,216,714,43886,711,11093,69052,72390,50851,10822,41052,38715,50.19,Labor
Makin,10260,10433,9662,10395,10892,10929,12062,11328,11157,11372,11118,10377,9368,9224,6960,4977,3354,2090,899,202,22,3995,1942,15043,12074,26215,50596,129,10913,5120,10678,30332,12814,7857,6171,3784,6488,10905,4268,1189,13684,12481,11468,11430,13094,616,11816,30332,8645,4399,2911,654,909,6544,6162,1015,2148,11165,1823,1007,7146,455,90637,691,3263,3480,6492,938,8859,3675,2590,46080,26499,2608,1124,3744,2625,48483,5461,30332,3252,7778,877,63759,691,90637,44114,7529,11700,4365,68995,30332,63182,10606,149,225,7714,27103,1309,98,216,104,60,7939,819,19,10010,1035,10,1578,831,224,95,114,57,237,109,1499,3833,14283,4700,3920,4888,3942,83046,3407,5286,65,2179,55847,708,12549,82605,84454,62684,11480,50464,42439,59.72,Australian Labor Party
Mallee,8619,9430,9241,9233,7857,8187,7872,7543,8606,9925,10616,11467,10877,10404,8004,6401,4575,3148,1444,333,58,1293,1741,9327,8956,22643,42014,174,18533,3557,18331,27290,9151,5171,3776,2215,5334,10328,2293,1361,14955,14485,11725,11360,11042,949,7830,27290,14533,3866,1899,10622,642,4194,4932,753,930,8765,1850,455,4079,404,90273,922,2242,1858,3277,460,6802,2803,1594,37595,21811,2634,1525,2547,1544,48000,10887,27290,540,6781,1764,53556,922,90273,38522,9746,11448,4571,62281,27290,53467,10048,98,129,6152,22985,1377,119,309,118,68,5320,607,26,6679,530,15,982,482,238,93,68,52,109,111,1050,3762,18474,6461,8235,5639,1334,86918,513,1413,39,797,46683,535,15566,76374,77497,53023,10723,44741,45323,66.23,The Nationals
Maranoa,9554,10597,9859,8656,7697,8140,8204,8030,9071,9745,10262,10532,9957,9725,7411,5320,3378,2068,821,214,28,1268,1189,9177,8194,21570,43161,122,14692,3236,16646,30010,9259,5482,4308,2620,4675,9400,3495,1860,13353,12401,10428,10114,10054,1001,7125,30010,13683,3759,1350,12265,456,4708,5416,1272,697,6529,1919,342,3706,1678,85313,859,2300,1799,3974,634,6038,2795,1457,40956,19064,2436,1493,2569,1253,41086,10395,30010,564,6728,2397,53408,859,85313,36015,7519,10873,4543,60300,30010,51279,10861,67,115,5724,24959,1495,117,335,105,59,3600,465,10,5857,572,5,993,609,260,116,78,52,104,111,1267,3250,15277,6697,8518,6302,675,101490,354,196,50,640,29870,437,15550,75109,74156,50796,11530,38348,48592,72.49,Liberal National Party of Queensland
Maribyrnong,9369,8660,8010,8373,11923,14262,14238,12059,11374,11077,9618,8908,7534,6448,4943,4305,3413,2348,1020,230,11,9352,4123,28153,12028,14128,36066,84,10822,4578,12677,25973,11290,8605,7291,5181,5628,9144,8260,5221,10230,9380,8527,8658,10239,662,11840,25973,11658,5351,2839,237,2127,5517,7759,770,4247,8706,2402,1857,4556,157,79290,925,2485,7721,4980,1370,7590,4667,2251,49369,25425,2471,1329,2721,2517,39234,8702,25973,3766,7484,1023,65518,925,79290,51345,6506,9454,3708,60897,25973,54280,10139,572,408,5822,23429,630,23,82,92,80,7878,448,3,8660,516,9,2447,760,215,121,252,120,264,153,1923,8508,15453,4026,6921,3814,6444,81684,4409,5465,96,960,44041,735,14124,77276,80734,53678,11677,53550,39092,61.2,Australian Labor Party
Mayo,8642,10140,10123,9739,7501,6607,7603,8487,10411,11360,11352,11780,11457,11755,8896,5717,3690,2408,1055,274,29,4563,3018,17345,12961,24110,42811,98,8738,4246,12212,28855,10807,6929,5855,4085,6052,9753,5259,2882,12978,12482,11661,10814,10773,537,9059,28855,10214,4679,2511,3743,1069,6586,6862,887,1655,10449,1768,774,4913,997,87466,507,2817,4219,4734,1037,7091,2383,1747,38744,28479,3150,1085,2276,1903,47248,7229,28855,2252,6984,1132,60567,507,87466,36167,6866,12688,3915,70517,28855,62214,11784,180,294,5788,25244,1424,136,153,58,33,6978,809,25,6985,761,17,799,579,164,52,20,22,77,39,911,2371,14155,6403,5511,4842,1452,73793,275,173,107,734,67272,838,14311,77859,81109,61795,12685,40693,43812,55.14,Centre Alliance
McEwen,10920,10884,10050,9379,8144,8662,9857,9807,10597,10485,9508,8673,7560,6797,4608,2815,1798,1101,439,124,22,3040,2579,12915,11484,23224,34931,113,8663,3171,10236,31908,10569,7520,6056,3996,5155,6844,5311,2493,7899,8096,8228,8624,9927,500,10023,31908,8990,3629,2211,907,1241,8994,6100,873,2014,7806,2308,934,5197,224,73384,731,2861,3671,4604,1065,6576,5248,2091,42426,22527,2572,1254,2069,1676,31350,6434,31908,2027,6515,1366,58213,731,73384,35680,4238,8795,3832,57772,31908,52637,10469,203,250,5763,28268,1307,56,246,99,60,7063,749,10,8319,919,9,943,831,164,92,68,68,160,103,1054,1765,8307,3805,5802,2952,1424,76408,1163,1300,80,1078,48439,744,11607,70090,72131,52040,11527,36140,42471,55.02,Australian Labor Party
McMahon,12032,11814,10559,10789,12110,12436,12523,11657,10805,10602,10518,10038,8458,7244,5128,3803,2654,1647,719,154,10,3730,1036,14257,10794,18187,47840,143,15339,8465,11502,34402,11006,7113,5280,3169,5819,12330,3794,1213,13844,11063,9299,10014,11582,1041,14992,34402,9728,3918,2326,289,759,7900,4088,610,3366,7066,3070,1013,5866,93,98782,1384,2770,3359,3493,986,6982,4857,2719,43852,19419,1772,1867,3317,2556,51479,7031,34402,1440,5319,705,58066,1384,98782,43311,6712,9643,4861,66761,34402,61291,5316,89,114,8163,31047,913,83,256,228,84,9582,535,17,16115,980,12,2586,1734,332,138,285,161,423,213,2151,2882,8479,3525,5754,2210,8995,98679,4414,19043,35,2118,20179,591,11640,82228,83470,60095,6710,54786,44106,56.64,Labor
McPherson,8726,9542,9192,9364,9085,9199,9832,10009,10873,10627,9768,9673,8721,8491,6328,4769,3388,2461,1211,283,26,4211,2092,16592,13037,23215,41192,78,6931,4064,12711,27462,10821,7086,6023,3824,5234,8087,4915,2830,10560,11055,10662,10524,11290,501,9459,27462,11257,6667,2895,323,2062,8153,6693,385,1828,9581,2476,1216,3226,509,79911,797,2738,4640,3218,2083,8186,2408,1590,41831,26336,2262,1239,2547,2225,39043,8630,27462,1277,5977,1037,62580,797,79911,42017,6976,13593,4374,57157,27462,51233,11542,184,234,7277,23959,1217,79,203,77,53,6020,687,6,7482,889,8,1225,1021,236,123,94,57,149,95,1988,6102,12828,4467,6612,5426,2365,83700,807,582,283,763,48879,655,13549,72750,78826,50661,12534,46290,42096,62.2,Liberal National Party of Queensland
