Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA1 (UR) by AGE5P - Age in Five Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGE5P - Age in Five Year Groups","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","Total",
"SA1 (UR)",
"1101229",41,31,33,37,25,39,28,42,27,32,30,37,21,9,3,0,0,3,0,0,0,442,
"1101230",13,16,17,27,13,27,17,14,18,15,15,17,15,7,0,0,0,0,0,0,0,235,
"1101231",20,25,28,25,20,12,18,13,29,36,29,21,18,12,19,13,3,4,0,0,0,330,
"1101232",30,37,46,41,33,22,23,28,38,52,41,24,16,11,3,0,0,0,0,0,0,455,
"1101301",12,15,11,21,9,9,12,10,5,11,25,34,25,28,16,12,11,17,0,4,0,279,
"1101302",39,31,22,26,22,23,30,21,22,23,29,21,37,36,18,16,17,16,14,8,0,478,
"1101303",22,21,14,17,19,11,16,17,17,21,19,20,22,18,7,9,12,3,0,0,0,296,
"1101304",23,30,26,17,11,19,25,25,27,20,32,31,36,32,35,21,12,7,3,0,0,434,
"1101305",8,12,18,15,14,9,6,15,21,23,19,16,23,29,17,7,7,0,3,0,0,261,
"1101306",9,13,0,0,9,7,8,7,5,6,17,12,20,13,20,7,3,0,0,0,0,150,
"1101307",18,16,16,23,10,5,15,16,11,32,29,33,21,30,16,8,5,9,0,0,0,315,
"1101308",10,17,8,9,9,3,13,3,11,15,16,18,15,9,17,3,0,3,0,0,0,192,
"1101401",22,21,23,9,8,19,20,16,5,9,8,13,12,16,9,9,22,11,14,3,0,267,
"1101402",30,26,18,30,29,25,26,25,27,9,26,29,20,21,16,10,8,8,3,0,0,375,
"1101403",12,27,17,18,21,19,19,14,28,31,30,39,25,29,26,18,18,6,10,0,0,403,
"1101404",21,16,7,29,33,40,21,18,21,34,37,28,30,34,24,27,18,8,6,0,0,448,
"1101405",24,14,23,26,19,22,19,27,31,30,26,26,20,31,24,20,10,11,0,0,0,400,
"1101406",29,24,25,26,23,22,21,25,34,29,39,39,40,37,23,22,28,6,4,0,0,492,
"1101407",22,24,25,21,20,18,13,25,24,30,35,39,31,27,27,28,16,6,4,0,0,431,
