Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"2016 Census - Employment, Income and Education",,,,,,,,,,,,,,,,,,,,,,,
CED (UR) by INDP - 1 Digit Level,,,,,,,,,,,,,,,,,,,,,,,
Counting: Persons Place of Usual Residence,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,,,,,,
Default Summation,Persons Place of Usual Residence,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
INDP - 1 Digit Level,"Agriculture, Forestry and Fishing",Mining,Manufacturing,"Electricity, Gas, Water and Waste Services",Construction,Wholesale Trade,Retail Trade,Accommodation and Food Services,"Transport, Postal and Warehousing",Information Media and Telecommunications,Financial and Insurance Services,"Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services",Administrative and Support Services,Public Administration and Safety,Health Care and Social Assistance,Education and Training,Arts and Recreation Services,Other Services,Inadequately described,Not stated,Not applicable,Total
CED (UR),,,,,,,,,,,,,,,,,,,,,,,
Melbourne Ports,289,312,3695,857,4409,2704,7080,6397,2606,3228,6354,2309,14676,3414,4052,9421,7833,3054,2580,2914,861,71667,160704
Menzies,164,103,3805,520,5290,2630,7629,4225,2013,1421,3223,1395,6571,2200,2749,8105,5786,1179,2390,2165,773,73178,137534
Murray,7782,185,6626,1098,4837,1296,6263,3789,2436,457,827,564,2098,1621,2450,8298,4490,683,2378,1756,951,84468,145367
Scullin,357,94,7150,831,7509,2437,8542,4566,5079,1244,2730,992,3997,2718,3877,9714,5621,1037,2996,3005,1222,92248,167967
Wannon,8878,402,5233,575,3870,1454,5752,3923,2326,419,699,465,1817,1298,3256,8130,4419,714,1937,1480,822,75903,133777
Wills,214,134,4398,782,5575,2177,7356,6636,4074,2421,3770,1072,8870,2955,5434,9911,9388,2424,2905,2461,1069,85632,169648
No usual address (Vic.),60,11,135,21,196,44,133,244,133,29,47,29,133,87,116,191,112,71,91,99,55,5537,7572
Migratory - Offshore - Shipping (Vic.),0,3,0,0,4,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,9,26
Blair,1416,636,6528,954,5601,1901,6858,3503,4093,589,1414,1039,2623,2136,6091,8479,5524,691,2582,2153,799,90732,156321
Bonner,306,844,4651,788,6215,2364,6880,4673,4105,1108,2758,1498,6159,2465,4909,9667,7412,1125,2764,2257,674,76007,149634
