Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"CED (UR) by RLHP Relationship in Household"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"RLHP Relationship in Household","Husband, Wife or Partner in a registered marriage","Husband, Wife or Partner in de facto marriage, opposite-sex couple","Husband, Wife or Partner in de facto marriage, male same-sex couple","Husband, Wife or Partner in de facto marriage, female same-sex couple","Lone parent","Natural or adopted child under 15","Step child under 15","Foster child under 15","Grandchild under 15","Otherwise related child under 15","Unrelated child under 15","Natural or adopted dependent student","Dependent student step child","Dependent student foster child","Non-dependent natural, or adopted child","Non-dependent step child","Non-dependent foster child","Brother/sister","Father/mother","Non-dependent grandchild","Grandfather/grandmother","Cousin","Uncle/aunt","Nephew/niece","Other related individual (nec)","Unrelated individual living in family household","Group household member","Lone person","Visitor (from within Australia)","Other non-classifiable relationship","Not applicable","Total",
"CED (UR)",
"Corio",49368,10279,180,279,7458,22789,1100,43,238,78,36,6207,590,7,8001,790,0,1197,654,250,129,95,53,103,116,1198,4423,16788,5378,6071,6009,149917,
"Deakin",56836,7490,214,177,5783,24680,707,23,87,48,31,7943,553,8,7817,592,4,1451,885,170,80,162,75,235,104,1481,4032,13486,3430,3542,4642,146766,
"Dunkley",49462,10832,185,260,7374,23070,1130,53,214,64,38,6219,747,16,8429,1009,13,1189,817,199,93,58,46,123,109,1268,3329,15120,4590,6015,4313,146376,
"Flinders",55529,11566,129,299,6297,23198,1299,59,192,53,38,5617,688,18,7650,976,9,866,763,188,88,33,29,83,83,1118,2463,15217,7147,6104,5684,153496,
"Gellibrand",53668,12126,788,699,6912,25767,738,12,147,110,78,6968,463,10,9121,543,6,2592,906,250,126,343,129,366,170,2571,9098,15835,4378,7289,3657,165874,
"Gippsland",48667,10555,106,198,5959,21056,1299,126,278,95,67,4711,557,16,5973,662,4,829,457,200,98,38,45,88,73,871,3039,16385,6900,7619,6036,143030,
"Goldstein",57218,7914,306,273,4814,25398,673,12,67,37,19,9698,607,3,6559,449,4,1038,614,118,71,76,34,143,65,985,3624,13406,3449,4771,5189,147624,
"Gorton",70014,9850,205,231,9268,40917,1516,60,441,302,95,10671,921,10,13311,1222,3,2401,1744,266,117,284,117,498,235,2121,3002,9446,4161,8180,3064,194692,
"Higgins",49466,12291,1108,328,4077,19883,472,4,45,44,25,7378,412,0,5076,282,0,2045,502,111,74,204,61,166,80,1803,12023,19802,4233,7137,4809,153939,
"Holt",74460,10018,153,208,8687,40802,1746,48,339,233,104,11206,961,18,13483,1347,13,2571,1991,277,129,342,136,512,232,2433,3522,9320,4221,7787,2579,199865,
"Hotham",57459,6786,233,206,6544,24614,752,15,161,98,62,8089,560,3,9935,692,0,2271,1240,250,118,289,97,419,174,2594,5278,11281,3405,4590,3060,151284,
"Indi",49016,10455,137,168,5549,21332,1332,86,225,65,47,4756,526,16,5530,559,10,778,493,189,87,30,39,73,73,826,2932,15299,6844,6357,6344,140185,
