Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA1 (UR) by HEAP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HEAP - 1 Digit Level","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Not stated","Not applicable","Total",
"SA1 (UR)",
"1104021",6,0,22,27,76,114,0,54,19,47,83,451,
"1104022",8,3,9,14,29,57,0,32,10,50,33,236,
"1104023",0,9,14,16,36,91,0,29,9,34,47,289,
"1104024",18,0,59,52,87,128,0,40,17,60,48,513,
"1104025",3,0,11,19,59,85,0,27,9,27,52,280,
"1104026",16,5,46,56,85,202,0,51,25,74,64,623,
"1104027",0,0,22,22,56,78,0,47,5,22,49,305,
"1104028",16,8,30,28,64,123,0,36,8,24,63,382,
"1104029",9,9,16,34,74,131,0,43,26,51,31,432,
"1104030",6,0,31,22,57,119,0,42,12,38,80,403,
"1104031",5,0,29,29,57,87,0,31,9,26,65,343,
"1104032",4,0,17,13,35,70,0,33,5,25,20,229,
"1104033",15,4,20,35,60,104,4,35,10,29,89,400,
"1104034",8,3,37,32,110,158,0,40,12,21,101,530,
"1104035",7,3,20,33,52,80,0,33,5,23,78,334,
"1104036",3,4,23,24,74,99,0,44,20,14,71,382,
"1104037",3,4,12,20,52,71,0,31,16,39,45,298,
"1104038",3,0,18,21,63,103,0,24,11,21,79,340,
"1104039",9,3,29,47,97,166,0,69,21,60,108,613,
"1104040",9,6,32,24,56,108,0,33,12,58,64,379,
"1104041",5,4,13,14,29,83,0,37,10,29,30,257,
"1104042",8,0,25,24,73,108,0,34,9,54,68,410,
"1104043",16,7,36,38,94,144,0,41,19,45,71,511,
"1104044",0,3,32,22,53,75,0,31,11,28,45,304,
"1104045",8,8,27,27,75,138,0,47,11,53,75,468,
"1104046",0,0,20,23,82,148,0,48,18,48,71,458,
"1104047",13,7,33,26,86,127,0,31,17,42,88,468,
"1104048",6,10,34,37,87,108,0,46,8,25,125,491,
"1104049",6,0,39,39,95,121,0,27,15,57,90,490,
"1104050",4,8,33,28,55,73,0,37,11,21,75,347,
"1104051",10,0,30,42,79,112,0,28,14,36,112,478,
"1104052",12,5,28,33,73,96,0,25,8,25,90,394,
"1104053",4,0,30,32,90,167,0,46,17,54,85,517,
"1104054",13,5,47,21,66,84,0,18,19,25,71,362,
"1104055",7,7,51,51,101,146,0,32,13,44,104,552,
"1104056",22,5,42,44,62,96,0,20,14,25,62,382,
"1104057",30,14,69,64,96,147,0,44,23,38,110,627,
"1104058",9,0,24,20,50,83,0,31,16,24,74,337,
"1104101",13,9,58,42,66,121,0,38,18,30,104,494,
"1104102",14,16,78,72,97,127,0,35,17,29,151,631,
"1104103",9,5,64,44,65,59,0,9,10,33,84,378,
"1104104",16,5,57,37,72,106,0,16,20,10,96,426,
"1104105",11,3,37,28,61,75,0,13,3,24,91,356,
"1104106",11,8,57,34,54,82,0,27,7,38,108,421,
"1104107",10,9,18,26,45,60,0,14,16,14,55,262,
"1104108",0,0,0,0,0,0,0,0,0,0,0,0,
"1104109",13,0,63,37,64,97,0,18,20,19,69,396,
"1104110",12,17,70,33,58,92,0,17,14,33,111,467,
"1104111",15,6,26,21,35,59,0,3,11,5,69,256,
"1104112",17,7,65,41,74,118,0,18,15,25,106,483,
"1104113",15,4,57,40,53,74,0,16,7,22,70,353,
"1104114",15,14,88,50,91,131,0,20,13,29,135,576,
"1104115",18,11,59,38,37,84,0,14,18,16,63,350,
"1104116",10,14,72,43,54,88,0,18,6,16,97,424,
"1104117",14,3,50,24,39,52,0,10,7,6,55,270,
"1104118",0,0,0,0,0,0,0,0,0,0,0,0,
"1104119",18,8,59,35,75,97,0,24,6,28,102,458,
"1104120",10,4,48,39,78,91,0,14,19,30,104,428,
"1104121",10,15,59,66,112,177,0,52,28,62,72,659,
"1104122",8,5,35,17,69,71,0,24,10,28,57,308,
"1104123",9,6,55,42,84,90,0,13,6,23,106,432,
"1104124",20,4,68,47,51,107,0,26,15,37,89,451,
"1104125",24,7,67,45,75,87,0,16,10,24,101,459,
"1104201",6,0,31,28,79,126,0,55,15,66,95,507,
"1104202",9,5,31,38,84,162,0,57,19,50,94,538,
"1104203",3,6,18,23,37,78,0,22,9,22,53,270,
"1104204",9,4,34,25,60,108,0,61,6,72,33,409,
"1104205",14,6,42,28,60,174,0,62,25,66,54,530,
"1104206",0,0,0,0,0,0,0,0,0,0,0,0,
"1104207",24,13,65,47,82,139,0,13,12,57,86,544,
"1104208",23,3,42,34,58,140,0,77,26,63,59,525,
"1104209",13,3,28,20,30,54,0,17,11,18,28,228,
"1104210",22,11,67,41,59,106,0,9,8,29,81,435,
"1104211",7,11,62,49,78,103,0,20,10,25,53,413,
"1104212",0,0,0,0,0,0,0,0,0,3,6,7,
"1104213",23,4,57,49,77,158,0,56,27,60,94,600,
"1104214",16,12,65,61,93,138,0,31,17,56,83,577,
"1104215",10,4,18,13,62,101,0,49,19,43,43,366,
"1104216",9,4,39,24,51,119,0,29,14,34,68,390,
"1104217",3,4,20,30,74,147,0,48,8,65,68,475,
"1104218",5,3,31,25,80,120,0,46,8,33,90,452,
"1104219",5,9,19,26,56,130,0,32,12,38,56,382,
"1104220",3,6,48,35,74,157,0,58,17,62,91,549,
"1104221",12,10,38,32,77,150,0,38,18,62,79,511,
"1104222",22,6,37,38,71,99,0,33,14,62,60,439,
"1104223",8,0,24,10,35,113,0,53,10,37,49,341,
"1104224",0,0,18,23,105,137,0,43,10,37,93,471,
"1104225",5,5,26,38,97,128,0,55,18,39,107,518,
"1104226",4,0,30,28,92,137,0,34,12,35,88,455,
"1104227",0,0,17,26,64,103,5,33,14,35,61,365,
"1104228",6,0,12,32,86,135,0,52,9,37,91,454,
"1104229",9,6,37,24,36,100,0,17,14,26,41,317,
"1104230",0,4,32,24,77,116,0,42,12,45,63,406,
"1104231",11,4,25,27,76,150,0,106,20,86,60,567,
"1104232",14,8,28,25,57,97,0,52,13,46,32,368,
"1104233",20,19,55,43,76,125,0,49,19,37,61,505,
"1104301",4,0,14,6,11,24,0,8,3,44,27,137,
"1104302",0,0,23,25,76,121,0,26,9,19,57,359,
"1104303",6,3,32,35,84,154,0,47,10,29,108,507,
"1104304",5,4,45,40,56,84,0,22,10,26,74,376,
"1104305",9,3,35,31,60,103,0,18,10,29,72,373,
"1104306",0,0,0,0,0,0,0,0,0,0,0,6,
"1104307",4,3,31,23,35,64,0,10,16,15,62,269,
"1104308",3,4,23,17,58,75,3,18,5,26,57,299,
"1104309",10,0,24,33,76,95,0,15,13,19,74,360,
"1104310",3,6,16,17,43,54,0,13,5,15,37,204,
"1104311",10,10,40,48,83,99,0,22,14,21,82,427,
"1104312",10,8,52,68,101,221,0,142,41,232,0,870,
"1104313",0,0,3,6,34,107,4,50,6,72,86,366,
"1104314",3,0,6,22,26,54,0,56,3,34,0,200,
"1104315",3,5,33,24,79,90,0,33,8,22,92,398,
"1104316",4,5,15,30,54,90,0,35,4,21,84,351,
"1104317",5,4,36,22,56,124,0,34,11,22,93,419,
"1104318",12,6,37,23,63,88,0,34,5,30,70,366,
"1104319",8,5,34,29,80,120,0,20,9,21,88,413,
"1104320",11,3,28,46,82,111,0,28,10,31,102,454,
"1104321",10,10,39,30,54,84,0,20,13,36,74,359,
"1104322",3,0,42,22,44,99,0,22,13,12,83,345,
"1104323",11,6,35,43,83,126,0,37,0,31,77,456,
"1104324",13,6,63,47,84,147,0,39,22,26,83,528,
"1104325",8,8,31,22,49,87,0,7,4,161,53,442,
"1104326",6,6,49,61,105,152,0,22,22,36,111,568,
"1104327",12,7,43,39,53,105,3,12,18,20,80,391,
"1104328",8,5,34,24,38,73,0,13,7,25,48,267,
"1104329",14,0,22,22,42,79,0,16,10,24,74,299,
"1104330",9,3,43,52,92,194,0,39,18,32,140,619,
"1104401",4,0,23,29,50,81,0,40,14,23,59,324,
"1104402",3,9,21,29,71,102,0,14,8,26,78,367,
"1104403",0,0,18,15,29,68,0,43,11,23,35,245,
