Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA1 (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INCP Total Personal Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","Not stated","Not applicable","Total",
"SA1 (UR)",
"1103406",0,8,5,7,6,11,15,8,12,17,12,4,0,5,3,5,40,153,
"1103407",0,23,11,13,12,16,21,16,20,21,9,7,9,21,20,5,71,299,
"1103408",0,18,14,22,20,24,9,18,22,34,16,16,8,21,11,33,56,331,
"1103409",0,25,11,16,20,16,29,20,34,23,17,15,14,13,0,11,64,321,
"1103410",4,20,16,22,20,31,32,30,33,24,18,8,13,10,3,9,94,396,
"1103411",0,17,21,11,31,43,25,41,43,35,23,26,17,18,3,21,108,486,
"1103412",0,42,15,25,22,32,43,40,34,40,21,23,12,16,3,28,138,531,
"1103413",0,21,11,28,38,25,24,20,28,19,24,21,19,11,17,11,61,372,
"1103414",0,24,14,25,43,54,36,25,29,24,18,15,8,15,8,41,56,429,
"1103415",0,9,3,17,37,43,21,12,9,3,4,0,0,0,0,18,13,192,
"1103416",0,27,6,25,42,50,46,30,40,34,11,10,9,11,7,16,48,413,
"1103417",0,16,9,24,40,60,41,39,32,34,5,4,3,3,5,43,31,408,
"1103418",4,14,11,39,140,207,70,46,31,10,5,0,0,3,4,77,0,664,
"1103419",4,20,10,23,18,22,22,27,15,25,13,16,9,10,7,5,71,311,
"1103501",0,53,20,39,48,41,34,47,35,61,19,28,16,37,10,21,110,629,
"1103502",0,21,12,22,32,21,27,25,16,22,23,12,9,5,5,14,60,314,
"1103503",4,41,22,18,31,22,27,44,36,41,32,14,15,23,6,25,108,503,
"1103504",0,21,12,17,30,32,34,40,39,40,18,26,12,9,0,30,104,462,
"1103505",0,34,20,28,27,32,39,27,28,34,30,15,17,20,3,19,69,437,
"1103506",6,31,31,30,36,39,31,35,32,54,24,25,25,31,8,19,112,561,
"1103507",0,15,4,18,29,31,23,12,27,23,10,7,8,13,0,16,75,317,
"1103508",0,30,26,13,24,23,38,31,36,30,23,18,19,28,12,26,95,469,
"1103509",5,26,13,18,19,17,23,25,27,37,21,14,9,16,0,12,67,347,
"1103510",0,33,7,20,30,26,32,37,37,36,23,15,11,11,0,27,114,469,
"1103511",0,47,16,21,27,33,41,35,39,37,24,23,18,17,6,15,108,514,
"1103512",0,18,13,11,32,24,27,11,22,36,21,3,8,4,4,16,65,315,
"1103513",0,22,16,18,28,18,20,16,29,20,15,14,7,13,0,27,35,314,
"1103514",0,34,14,23,25,19,28,18,33,30,16,18,14,13,4,13,82,387,
"1103515",0,19,7,23,25,20,20,21,23,17,7,5,3,10,4,17,52,283,
"1103516",0,19,14,19,34,13,17,12,17,11,13,13,7,12,0,20,53,276,
"1103517",0,0,0,0,5,6,0,0,3,0,0,0,0,8,0,13,14,45,
"1103601",0,13,7,8,12,6,10,12,11,19,9,17,8,19,3,3,63,221,
"1103602",0,14,13,4,0,12,16,9,15,16,16,14,10,15,6,0,60,232,
"1103603",0,34,21,31,28,37,26,34,36,61,26,19,18,18,3,24,103,516,
"1103604",0,30,16,16,17,19,16,8,27,14,17,13,5,8,9,17,50,280,
"1103605",0,39,17,22,12,25,19,32,25,32,15,20,14,26,0,27,93,407,
"1103606",3,16,8,16,21,20,11,19,23,17,14,9,13,14,0,14,81,302,
